source_index,lotName,waferIndex,label,split
0,lot1,1.0,none,train
1,lot1,2.0,none,train
2,lot1,3.0,none,train
3,lot1,4.0,none,train
4,lot1,5.0,none,train
5,lot1,6.0,none,train
6,lot1,7.0,none,train
7,lot1,8.0,none,train
8,lot1,9.0,none,train
9,lot1,10.0,none,train
10,lot1,11.0,none,train
11,lot1,12.0,none,train
12,lot1,13.0,none,train
13,lot1,14.0,none,train
14,lot1,15.0,none,train
15,lot1,16.0,none,train
16,lot1,17.0,none,train
17,lot1,18.0,none,train
18,lot1,19.0,none,train
19,lot1,20.0,Loc,train
20,lot1,21.0,none,train
21,lot1,22.0,none,train
22,lot1,23.0,none,train
23,lot1,24.0,none,train
24,lot1,25.0,none,train
25,lot2,1.0,none,train
26,lot2,2.0,none,train
27,lot2,3.0,none,train
28,lot2,4.0,none,train
29,lot2,5.0,none,train
30,lot2,6.0,none,train
31,lot2,7.0,none,train
32,lot2,8.0,none,train
33,lot2,9.0,none,train
34,lot2,10.0,none,train
36,lot2,12.0,Edge-Loc,train
37,lot2,13.0,Edge-Loc,train
38,lot2,14.0,Edge-Loc,train
39,lot2,15.0,Edge-Loc,train
40,lot2,16.0,Loc,train
41,lot2,17.0,Edge-Loc,train
42,lot2,18.0,Edge-Loc,train
43,lot2,19.0,Edge-Loc,train
44,lot2,20.0,Center,train
46,lot2,22.0,none,train
47,lot2,23.0,Loc,train
48,lot2,24.0,Edge-Loc,train
49,lot2,25.0,Center,train
50,lot3,1.0,none,train
51,lot3,2.0,none,train
52,lot3,3.0,none,train
53,lot3,4.0,none,train
54,lot3,5.0,none,train
55,lot3,6.0,none,train
56,lot3,7.0,none,train
57,lot3,8.0,none,train
58,lot3,9.0,none,train
59,lot3,10.0,none,train
60,lot3,11.0,none,train
61,lot3,12.0,none,train
62,lot3,13.0,none,train
63,lot3,14.0,none,train
64,lot3,15.0,none,train
65,lot3,16.0,none,train
66,lot3,17.0,none,train
67,lot3,18.0,none,train
68,lot3,19.0,none,train
70,lot3,21.0,none,train
71,lot3,22.0,none,train
72,lot3,23.0,none,train
73,lot3,24.0,Loc,train
74,lot3,25.0,none,train
75,lot4,1.0,none,train
76,lot4,2.0,none,train
77,lot4,3.0,none,train
