source_index,lotName,waferIndex,label,split,label_id,true_label_id,image_row,predicted_label_seed42,confidence_seed42,correct_seed42,predicted_label_seed123,confidence_seed123,correct_seed123,predicted_label_seed2026,confidence_seed2026,correct_seed2026,wrong_seed_count,all_seeds_wrong,unanimous_prediction,unanimous_wrong,unanimous_predicted_label,mean_prediction_confidence
687416,lot42512,16.00000000,Center,test,0,0,57248,none,0.99947480,False,none,0.99973196,False,none,0.99815590,False,3,True,True,True,none,0.99912089
711424,lot43484,7.00000000,Edge-Loc,test,2,2,79147,none,0.99739885,False,none,0.99949646,False,none,0.99861300,False,3,True,True,True,none,0.99850277
725156,lot44037,11.00000000,Scratch,test,7,7,92587,none,0.99811720,False,none,0.99848133,False,none,0.99802410,False,3,True,True,True,none,0.99820754
690198,lot42627,22.00000000,Loc,test,4,4,59853,none,0.99804450,False,none,0.99535240,False,none,0.99931440,False,3,True,True,True,none,0.99757043
789773,lot46660,10.00000000,Loc,test,4,4,151906,none,0.99631786,False,none,0.99640214,False,none,0.99514645,False,3,True,True,True,none,0.99595548
767770,lot45764,1.00000000,Scratch,test,7,7,130787,none,0.99315333,False,none,0.98793670,False,none,0.99172590,False,3,True,True,True,none,0.99093864
806177,lot47326,21.00000000,Loc,test,4,4,167862,none,0.99052390,False,none,0.99175670,False,none,0.98947316,False,3,True,True,True,none,0.99058459
793215,lot46800,24.00000000,Loc,test,4,4,155225,none,0.99288696,False,none,0.98629797,False,none,0.99243450,False,3,True,True,True,none,0.99053981
712753,lot43537,17.00000000,Loc,test,4,4,80456,none,0.98910160,False,none,0.99059045,False,none,0.99080265,False,3,True,True,True,none,0.99016490
719190,lot43797,10.00000000,Edge-Loc,test,2,2,86745,none,0.99644140,False,none,0.98056580,False,none,0.99125480,False,3,True,True,True,none,0.98942067
763183,lot45577,7.00000000,Loc,test,4,4,126393,none,0.99035710,False,none,0.99631090,False,none,0.98148790,False,3,True,True,True,none,0.98938530
714257,lot43598,6.00000000,Loc,test,4,4,81919,none,0.98347060,False,none,0.98935620,False,none,0.99341220,False,3,True,True,True,none,0.98874633
686584,lot42478,7.00000000,Loc,test,4,4,56439,none,0.99262940,False,none,0.98158750,False,none,0.98982555,False,3,True,True,True,none,0.98801415
806229,lot47328,23.00000000,Edge-Loc,test,2,2,167914,none,0.99396990,False,none,0.97717170,False,none,0.99274760,False,3,True,True,True,none,0.98796307
674122,lot41974,2.00000000,Loc,test,4,4,45685,Donut,0.99635315,False,Donut,0.98340994,False,Donut,0.98330724,False,3,True,True,True,Donut,0.98769011
806079,lot47322,23.00000000,Edge-Loc,test,2,2,167764,none,0.97488450,False,none,0.98985684,False,none,0.99632760,False,3,True,True,True,none,0.98702298
678928,lot42166,17.00000000,Center,test,0,0,49521,none,0.98461390,False,none,0.98471780,False,none,0.99080920,False,3,True,True,True,none,0.98671363
256711,lot15890,11.00000000,Edge-Loc,test,2,2,19447,Edge-Ring,0.98869880,False,Edge-Ring,0.98280050,False,Edge-Ring,0.98717230,False,3,True,True,True,Edge-Ring,0.98622387
764758,lot45641,12.00000000,Center,test,0,0,127927,none,0.98414130,False,none,0.97691387,False,none,0.99596906,False,3,True,True,True,none,0.98567474
643436,lot40480,2.00000000,Edge-Loc,test,2,2,31505,none,0.99147075,False,none,0.97553490,False,none,0.98830160,False,3,True,True,True,none,0.98510242
7382,lot1288,4.00000000,Random,test,6,6,6547,Near-full,0.99354080,False,Near-full,0.97128516,False,Near-full,0.98757950,False,3,True,True,True,Near-full,0.98413515
765934,lot45690,13.00000000,Loc,test,4,4,129000,none,0.97782270,False,none,0.97985005,False,none,0.98901004,False,3,True,True,True,none,0.98222760
31707,lot3108,9.00000000,Donut,test,1,1,8337,Edge-Ring,0.98010856,False,Edge-Ring,0.97217060,False,Edge-Ring,0.99051570,False,3,True,True,True,Edge-Ring,0.98093162
643116,lot40467,7.00000000,Loc,test,4,4,31186,none,0.98534560,False,none,0.96647510,False,none,0.98976200,False,3,True,True,True,none,0.98052757
776304,lot46116,5.00000000,Loc,test,4,4,138903,none,0.94971670,False,none,0.99539894,False,none,0.99334770,False,3,True,True,True,none,0.97948778
687597,lot42520,18.00000000,Center,test,0,0,57425,none,0.97931767,False,none,0.96929514,False,none,0.98858786,False,3,True,True,True,none,0.97906689
692447,lot42718,20.00000000,Edge-Loc,test,2,2,61924,none,0.94944954,False,none,0.98623860,False,none,0.99559800,False,3,True,True,True,none,0.97709538
796701,lot46941,18.00000000,Center,test,0,0,158617,none,0.96114760,False,none,0.98807680,False,none,0.97978574,False,3,True,True,True,none,0.97633671
777148,lot46149,24.00000000,Loc,test,4,4,139746,none,0.97558880,False,none,0.98221870,False,none,0.96637080,False,3,True,True,True,none,0.97472610
799126,lot47040,9.00000000,Loc,test,4,4,160957,none,0.96276444,False,none,0.98213640,False,none,0.97661580,False,3,True,True,True,none,0.97383888
744519,lot44825,4.00000000,Scratch,test,7,7,108441,none,0.96339834,False,none,0.96789324,False,none,0.96819940,False,3,True,True,True,none,0.96649699
734174,lot44405,5.00000000,Scratch,test,7,7,100558,none,0.98726416,False,none,0.99048704,False,none,0.90786760,False,3,True,True,True,none,0.96187293
740416,lot44658,23.00000000,Center,test,0,0,106411,none,0.96577640,False,none,0.94016950,False,none,0.97939200,False,3,True,True,True,none,0.96177930
713494,lot43567,16.00000000,Loc,test,4,4,81180,none,0.94891490,False,none,0.97533860,False,none,0.95570064,False,3,True,True,True,none,0.95998471
776306,lot46116,7.00000000,Center,test,0,0,138905,none,0.96688634,False,none,0.94705350,False,none,0.96469325,False,3,True,True,True,none,0.95954436
692732,lot42730,6.00000000,Edge-Loc,test,2,2,62184,none,0.96947410,False,none,0.98864436,False,none,0.91259850,False,3,True,True,True,none,0.95690565
718289,lot43761,7.00000000,Loc,test,4,4,85867,none,0.96031487,False,none,0.97441770,False,none,0.93522580,False,3,True,True,True,none,0.95665279
719181,lot43797,1.00000000,Center,test,0,0,86736,none,0.96059230,False,none,0.93086950,False,none,0.97684900,False,3,True,True,True,none,0.95610360
794224,lot46841,14.00000000,none,test,8,8,156190,Scratch,0.95449835,False,Scratch,0.93659600,False,Scratch,0.97709240,False,3,True,True,True,Scratch,0.95606225
643662,lot40489,3.00000000,Loc,test,4,4,31730,none,0.92748930,False,none,0.97214850,False,none,0.96660554,False,3,True,True,True,none,0.95541445
276162,lot16991,7.00000000,Edge-Loc,test,2,2,20160,Random,0.96876454,False,Random,0.92502690,False,Random,0.97228616,False,3,True,True,True,Random,0.95535920
715559,lot43650,12.00000000,Edge-Loc,test,2,2,83173,none,0.95312530,False,none,0.96088076,False,none,0.95098530,False,3,True,True,True,none,0.95499712
697625,lot42928,5.00000000,Loc,test,4,4,66736,Edge-Loc,0.96387935,False,Edge-Loc,0.96319080,False,Edge-Loc,0.93635150,False,3,True,True,True,Edge-Loc,0.95447388
732581,lot44340,17.00000000,Edge-Loc,test,2,2,99279,none,0.96929640,False,none,0.93230500,False,none,0.96013840,False,3,True,True,True,none,0.95391327
716941,lot43705,21.00000000,Scratch,test,7,7,84532,none,0.99204504,False,none,0.95268005,False,none,0.91511124,False,3,True,True,True,none,0.95327878
654012,lot40914,15.00000000,Center,test,0,0,39729,none,0.95104760,False,none,0.97656380,False,none,0.93131760,False,3,True,True,True,none,0.95297633
764115,lot45615,19.00000000,Edge-Loc,test,2,2,127302,Edge-Ring,0.98491085,False,Edge-Ring,0.95997435,False,Edge-Ring,0.91332440,False,3,True,True,True,Edge-Ring,0.95273653
766594,lot45716,24.00000000,Edge-Ring,test,3,3,129636,Edge-Loc,0.91555554,False,Edge-Loc,0.98196650,False,Edge-Loc,0.96020830,False,3,True,True,True,Edge-Loc,0.95257678
678865,lot42164,4.00000000,Center,test,0,0,49458,none,0.96411750,False,none,0.97096090,False,none,0.92205640,False,3,True,True,True,none,0.95237827
643451,lot40480,17.00000000,Edge-Loc,test,2,2,31520,none,0.92792840,False,none,0.95563210,False,none,0.96945290,False,3,True,True,True,none,0.95100447
712827,lot43540,16.00000000,Loc,test,4,4,80530,none,0.94025340,False,none,0.95205736,False,none,0.95780070,False,3,True,True,True,none,0.95003715
764342,lot45624,21.00000000,Center,test,0,0,127521,none,0.91005940,False,none,0.96783555,False,none,0.97181690,False,3,True,True,True,none,0.94990395
755840,lot45279,20.00000000,Loc,test,4,4,119295,none,0.97440990,False,none,0.90151230,False,none,0.97372130,False,3,True,True,True,none,0.94988117
760749,lot45479,2.00000000,Loc,test,4,4,124018,none,0.92134553,False,none,0.97099555,False,none,0.95400524,False,3,True,True,True,none,0.94878211
758192,lot45375,7.00000000,Edge-Loc,test,2,2,121554,none,0.96356523,False,none,0.93529590,False,none,0.94296710,False,3,True,True,True,none,0.94727608
656739,lot41024,15.00000000,Loc,test,4,4,42084,none,0.93519413,False,none,0.91903010,False,none,0.98695755,False,3,True,True,True,none,0.94706059
761759,lot45519,20.00000000,Center,test,0,0,125011,none,0.87058040,False,none,0.99085426,False,none,0.97783846,False,3,True,True,True,none,0.94642437
751201,lot45093,19.00000000,Loc,test,4,4,114763,Edge-Loc,0.98798835,False,Edge-Loc,0.85797520,False,Edge-Loc,0.98836434,False,3,True,True,True,Edge-Loc,0.94477596
802771,lot47189,7.00000000,Scratch,test,7,7,164525,none,0.96272886,False,none,0.95355330,False,none,0.91610400,False,3,True,True,True,none,0.94412872
