true_class,predicted_class,true_class_support_per_seed,error_count_mean,error_count_sample_std,error_count_min,error_count_max,true_class_error_rate_percent_mean,true_class_error_rate_percent_sample_std,mean_error_confidence_across_seeds
Edge-Loc,none,778,101.33333333,9.45163125,94,112,13.02485004,1.21486263,0.76976375
Loc,none,539,84.00000000,1.00000000,83,85,15.58441558,0.18552876,0.77303387
Center,none,644,46.66666667,3.21455025,43,49,7.24637681,0.49915377,0.77153877
none,Edge-Loc,22117,42.33333333,3.78593890,38,45,0.19140631,0.01711778,0.63961454
Scratch,none,179,31.00000000,3.60555128,28,35,17.31843575,2.01427446,0.75101919
Loc,Edge-Loc,539,26.66666667,2.88675135,25,30,4.94743352,0.53557539,0.72045852
none,Loc,22117,21.66666667,2.08166600,20,24,0.09796386,0.00941206,0.67972061
none,Center,22117,18.00000000,3.60555128,14,21,0.08138536,0.01630217,0.66167074
none,Scratch,22117,15.00000000,3.00000000,12,18,0.06782113,0.01356423,0.72793038
Edge-Loc,Edge-Ring,778,14.00000000,3.60555128,10,17,1.79948586,0.46343847,0.71619336
Edge-Ring,Edge-Loc,1452,13.66666667,2.51661148,11,16,0.94123049,0.17332035,0.67521939
Loc,Center,539,11.00000000,1.00000000,10,12,2.04081633,0.18552876,0.72365123
Loc,Scratch,539,9.66666667,1.52752523,8,11,1.79344465,0.28339986,0.68894326
Loc,Donut,539,9.00000000,1.00000000,8,10,1.66975881,0.18552876,0.80423757
Edge-Loc,Loc,778,8.66666667,3.51188458,5,12,1.11396744,0.45139905,0.68202484
none,Edge-Ring,22117,5.33333333,1.52752523,4,7,0.02411418,0.00690657,0.61943114
Edge-Ring,none,1452,5.00000000,1.00000000,4,6,0.34435262,0.06887052,0.61823043
none,Random,22117,4.33333333,1.15470054,3,5,0.01959277,0.00522087,0.73529249
Scratch,Edge-Loc,179,4.00000000,1.00000000,3,5,2.23463687,0.55865922,0.71855934
Center,Donut,644,3.66666667,0.57735027,3,4,0.56935818,0.08965066,0.63948307
Random,Edge-Loc,130,3.33333333,0.57735027,3,4,2.56410256,0.44411559,0.75106566
Donut,Loc,83,3.00000000,1.00000000,2,4,3.61445783,1.20481928,0.61888716
Center,Loc,644,2.66666667,1.15470054,2,4,0.41407867,0.17930133,0.59012046
Donut,Random,83,2.66666667,0.57735027,2,3,3.21285141,0.69560273,0.80721933
Scratch,Loc,179,2.66666667,1.52752523,1,4,1.48975791,0.85336605,0.55317305
Loc,Random,539,2.33333333,0.57735027,2,3,0.43290043,0.10711508,0.67491488
Donut,Edge-Ring,83,2.00000000,0.00000000,2,2,2.40963855,0.00000000,0.89133139
none,Donut,22117,2.00000000,1.00000000,1,3,0.00904282,0.00452141,0.61963104
Edge-Loc,Random,778,1.66666667,0.57735027,1,2,0.21422451,0.07420955,0.83242377
Random,Loc,130,1.66666667,0.57735027,1,2,1.28205128,0.44411559,0.44642910
Random,none,130,1.66666667,0.57735027,1,2,1.28205128,0.44411559,0.79058451
Center,Edge-Loc,644,1.00000000,0.00000000,1,1,0.15527950,0.00000000,0.54397374
Donut,none,83,1.00000000,0.00000000,1,1,1.20481928,0.00000000,0.57808835
Loc,Edge-Ring,539,1.00000000,0.00000000,1,1,0.18552876,0.00000000,0.89837173
Near-full,Random,21,1.00000000,0.00000000,1,1,4.76190476,0.00000000,0.52420237
Random,Center,130,1.00000000,0.00000000,1,1,0.76923077,0.00000000,0.48559708
Random,Donut,130,1.00000000,0.00000000,1,1,0.76923077,0.00000000,0.60567970
Random,Near-full,130,1.00000000,0.00000000,1,1,0.76923077,0.00000000,0.98413515
Donut,Edge-Loc,83,0.66666667,0.57735027,0,1,0.80321285,0.69560273,0.62177798
Edge-Loc,Center,778,0.66666667,0.57735027,0,1,0.08568980,0.07420955,0.44498692
Scratch,Edge-Ring,179,0.66666667,0.57735027,0,1,0.37243948,0.32254205,0.88729245
Center,Random,644,0.33333333,0.57735027,0,1,0.05175983,0.08965066,0.57277940
Center,Edge-Ring,644,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Center,Near-full,644,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Center,Scratch,644,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Donut,Center,83,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Donut,Near-full,83,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Donut,Scratch,83,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Loc,Donut,778,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Loc,Near-full,778,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Loc,Scratch,778,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Center,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Donut,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Loc,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Near-full,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Random,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Edge-Ring,Scratch,1452,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Loc,Near-full,539,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Center,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Donut,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Edge-Loc,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Edge-Ring,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Loc,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,Scratch,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Near-full,none,21,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Random,Edge-Ring,130,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Random,Scratch,130,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Scratch,Center,179,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Scratch,Donut,179,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Scratch,Near-full,179,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
Scratch,Random,179,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
none,Near-full,22117,0.00000000,0.00000000,0,0,0.00000000,0.00000000,
