seed,true_class,predicted_class,true_class_support,error_count,true_class_error_rate_percent,mean_error_confidence
42,Center,Donut,644,4,0.62111801,0.70280710
42,Center,Edge-Loc,644,1,0.15527950,0.59179500
42,Center,Edge-Ring,644,0,0.00000000,
42,Center,Loc,644,2,0.31055901,0.55523400
42,Center,Near-full,644,0,0.00000000,
42,Center,Random,644,1,0.15527950,0.57277940
42,Center,Scratch,644,0,0.00000000,
42,Center,none,644,48,7.45341615,0.75904680
42,Donut,Center,83,0,0.00000000,
42,Donut,Edge-Loc,83,0,0.00000000,
42,Donut,Edge-Ring,83,2,2.40963855,0.95383858
42,Donut,Loc,83,2,2.40963855,0.73465908
42,Donut,Near-full,83,0,0.00000000,
42,Donut,Random,83,2,2.40963855,0.81966728
42,Donut,Scratch,83,0,0.00000000,
42,Donut,none,83,1,1.20481928,0.59674090
42,Edge-Loc,Center,778,1,0.12853470,0.50107740
42,Edge-Loc,Donut,778,0,0.00000000,
42,Edge-Loc,Edge-Ring,778,15,1.92802057,0.69541051
42,Edge-Loc,Loc,778,9,1.15681234,0.70121469
42,Edge-Loc,Near-full,778,0,0.00000000,
42,Edge-Loc,Random,778,2,0.25706941,0.80931092
42,Edge-Loc,Scratch,778,0,0.00000000,
42,Edge-Loc,none,778,94,12.08226221,0.76900828
42,Edge-Ring,Center,1452,0,0.00000000,
42,Edge-Ring,Donut,1452,0,0.00000000,
42,Edge-Ring,Edge-Loc,1452,16,1.10192837,0.67369740
42,Edge-Ring,Loc,1452,0,0.00000000,
42,Edge-Ring,Near-full,1452,0,0.00000000,
42,Edge-Ring,Random,1452,0,0.00000000,
42,Edge-Ring,Scratch,1452,0,0.00000000,
42,Edge-Ring,none,1452,5,0.34435262,0.52784140
42,Loc,Center,539,11,2.04081633,0.68830619
42,Loc,Donut,539,9,1.66975881,0.84573487
42,Loc,Edge-Loc,539,25,4.63821892,0.73256976
42,Loc,Edge-Ring,539,1,0.18552876,0.95059690
42,Loc,Near-full,539,0,0.00000000,
42,Loc,Random,539,3,0.55658627,0.66756205
42,Loc,Scratch,539,8,1.48423006,0.68787822
42,Loc,none,539,83,15.39888683,0.75932189
42,Near-full,Center,21,0,0.00000000,
42,Near-full,Donut,21,0,0.00000000,
42,Near-full,Edge-Loc,21,0,0.00000000,
42,Near-full,Edge-Ring,21,0,0.00000000,
42,Near-full,Loc,21,0,0.00000000,
42,Near-full,Random,21,1,4.76190476,0.54473730
42,Near-full,Scratch,21,0,0.00000000,
42,Near-full,none,21,0,0.00000000,
42,Random,Center,130,1,0.76923077,0.38338858
42,Random,Donut,130,1,0.76923077,0.59735477
42,Random,Edge-Loc,130,4,3.07692308,0.68709354
42,Random,Edge-Ring,130,0,0.00000000,
42,Random,Loc,130,2,1.53846154,0.45734712
42,Random,Near-full,130,1,0.76923077,0.99354080
42,Random,Scratch,130,0,0.00000000,
42,Random,none,130,1,0.76923077,0.89925610
42,Scratch,Center,179,0,0.00000000,
42,Scratch,Donut,179,0,0.00000000,
42,Scratch,Edge-Loc,179,5,2.79329609,0.69959523
42,Scratch,Edge-Ring,179,1,0.55865922,0.95566230
42,Scratch,Loc,179,1,0.55865922,0.41617690
42,Scratch,Near-full,179,0,0.00000000,
42,Scratch,Random,179,0,0.00000000,
42,Scratch,none,179,28,15.64245810,0.76727826
42,none,Center,22117,19,0.08590677,0.64069158
42,none,Donut,22117,3,0.01356423,0.65499897
42,none,Edge-Loc,22117,44,0.19894199,0.64841658
42,none,Edge-Ring,22117,5,0.02260704,0.60129820
42,none,Loc,22117,24,0.10851381,0.69973063
42,none,Near-full,22117,0,0.00000000,
42,none,Random,22117,5,0.02260704,0.77969907
42,none,Scratch,22117,18,0.08138536,0.68878703
123,Center,Donut,644,4,0.62111801,0.65098651
123,Center,Edge-Loc,644,1,0.15527950,0.38065448
123,Center,Edge-Ring,644,0,0.00000000,
123,Center,Loc,644,2,0.31055901,0.67885425
123,Center,Near-full,644,0,0.00000000,
123,Center,Random,644,0,0.00000000,
123,Center,Scratch,644,0,0.00000000,
123,Center,none,644,49,7.60869565,0.76638524
123,Donut,Center,83,0,0.00000000,
123,Donut,Edge-Loc,83,1,1.20481928,0.77089250
123,Donut,Edge-Ring,83,2,2.40963855,0.91429052
123,Donut,Loc,83,4,4.81927711,0.55402608
123,Donut,Near-full,83,0,0.00000000,
123,Donut,Random,83,3,3.61445783,0.83004298
123,Donut,Scratch,83,0,0.00000000,
123,Donut,none,83,1,1.20481928,0.50700500
123,Edge-Loc,Center,778,0,0.00000000,
123,Edge-Loc,Donut,778,0,0.00000000,
123,Edge-Loc,Edge-Ring,778,10,1.28534704,0.76341602
123,Edge-Loc,Loc,778,12,1.54241645,0.66384806
123,Edge-Loc,Near-full,778,0,0.00000000,
123,Edge-Loc,Random,778,2,0.25706941,0.71567422
123,Edge-Loc,Scratch,778,0,0.00000000,
123,Edge-Loc,none,778,98,12.59640103,0.77751342
