true_class,predicted_class,sample_count,distinct_lot_count,mean_prediction_confidence,percent_of_unanimous_errors,percent_of_true_class_support
Edge-Loc,none,80,72,0.80408764,22.28412256,10.28277635
Loc,none,73,62,0.81039665,20.33426184,13.54359926
Center,none,40,39,0.80188402,11.14206128,6.21118012
none,Edge-Loc,22,19,0.68629823,6.12813370,0.09947100
Scratch,none,21,20,0.83245197,5.84958217,11.73184358
Loc,Edge-Loc,17,17,0.80448184,4.73537604,3.15398887
none,Loc,13,12,0.73871890,3.62116992,0.05877832
none,Center,11,11,0.70277832,3.06406685,0.04973550
Edge-Ring,Edge-Loc,9,8,0.71776523,2.50696379,0.61983471
Edge-Loc,Edge-Ring,8,7,0.82618289,2.22841226,1.02827763
Loc,Donut,8,8,0.82860027,2.22841226,1.48423006
none,Scratch,8,8,0.82644560,2.22841226,0.03617127
Loc,Center,7,7,0.75231724,1.94986072,1.29870130
Loc,Scratch,7,7,0.71571221,1.94986072,1.29870130
Center,Donut,3,2,0.64537605,0.83565460,0.46583851
Edge-Loc,Loc,3,3,0.77278387,0.83565460,0.38560411
Random,Edge-Loc,3,3,0.76450885,0.83565460,2.30769231
Center,Loc,2,2,0.57972816,0.55710306,0.31055901
Donut,Edge-Ring,2,1,0.89133139,0.55710306,2.40963855
Donut,Loc,2,2,0.66027149,0.55710306,2.40963855
Donut,Random,2,1,0.85875218,0.55710306,2.40963855
Loc,Random,2,2,0.70129275,0.55710306,0.37105751
Scratch,Edge-Loc,2,2,0.85517193,0.55710306,1.11731844
none,Edge-Ring,2,2,0.76179172,0.55710306,0.00904282
none,Random,2,1,0.86180076,0.55710306,0.00904282
Donut,none,1,1,0.57808835,0.27855153,1.20481928
Edge-Loc,Random,1,1,0.95535920,0.27855153,0.12853470
Edge-Ring,none,1,1,0.74393055,0.27855153,0.06887052
Loc,Edge-Ring,1,1,0.89837173,0.27855153,0.18552876
Random,Center,1,1,0.48559708,0.27855153,0.76923077
Random,Donut,1,1,0.60567970,0.27855153,0.76923077
Random,Loc,1,1,0.41383809,0.27855153,0.76923077
Random,Near-full,1,1,0.98413515,0.27855153,0.76923077
Random,none,1,1,0.91717777,0.27855153,0.76923077
none,Donut,1,1,0.67785794,0.27855153,0.00452141
