feature,outcome,n_classes,spearman_rho_descriptive,interpretation_limit
wafer_die_count,error_rate_across_seeds,8,-0.5,descriptive_only_n_equals_8
wafer_die_count,predicted_none_rate_across_seeds,8,-0.380952381,descriptive_only_n_equals_8
fail_die_count,error_rate_across_seeds,8,-0.4285714286,descriptive_only_n_equals_8
fail_die_count,predicted_none_rate_across_seeds,8,-0.619047619,descriptive_only_n_equals_8
fail_die_fraction,error_rate_across_seeds,8,-0.4285714286,descriptive_only_n_equals_8
fail_die_fraction,predicted_none_rate_across_seeds,8,-0.619047619,descriptive_only_n_equals_8
component_count,error_rate_across_seeds,8,0.1666666667,descriptive_only_n_equals_8
component_count,predicted_none_rate_across_seeds,8,0.2619047619,descriptive_only_n_equals_8
largest_component_fraction,error_rate_across_seeds,8,-0.6428571429,descriptive_only_n_equals_8
largest_component_fraction,predicted_none_rate_across_seeds,8,-0.8333333333,descriptive_only_n_equals_8
singleton_fail_fraction,error_rate_across_seeds,8,0.380952381,descriptive_only_n_equals_8
singleton_fail_fraction,predicted_none_rate_across_seeds,8,0.5952380952,descriptive_only_n_equals_8
component_size_cv,error_rate_across_seeds,8,-0.2619047619,descriptive_only_n_equals_8
component_size_cv,predicted_none_rate_across_seeds,8,-0.2619047619,descriptive_only_n_equals_8
centroid_offset_normalized,error_rate_across_seeds,8,0.7619047619,descriptive_only_n_equals_8
centroid_offset_normalized,predicted_none_rate_across_seeds,8,0.6904761905,descriptive_only_n_equals_8
radial_mean_normalized,error_rate_across_seeds,8,0,descriptive_only_n_equals_8
radial_mean_normalized,predicted_none_rate_across_seeds,8,0.1904761905,descriptive_only_n_equals_8
radial_std_normalized,error_rate_across_seeds,8,0.2380952381,descriptive_only_n_equals_8
radial_std_normalized,predicted_none_rate_across_seeds,8,0.4523809524,descriptive_only_n_equals_8
edge_fail_fraction,error_rate_across_seeds,8,0.09523809524,descriptive_only_n_equals_8
edge_fail_fraction,predicted_none_rate_across_seeds,8,0.380952381,descriptive_only_n_equals_8
spatial_dispersion_normalized,error_rate_across_seeds,8,0.02380952381,descriptive_only_n_equals_8
spatial_dispersion_normalized,predicted_none_rate_across_seeds,8,0.2619047619,descriptive_only_n_equals_8
