representation,feature,outcome,valid_n,spearman_rho,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_ci_lower_2_5pct,bootstrap_ci_upper_97_5pct
raw,wafer_die_count,error_rate_across_seeds,3826,-0.01693605553,2000,2000,-0.04996046526,0.01445509943
raw,wafer_die_count,predicted_none_rate_across_seeds,3826,-0.01627430094,2000,2000,-0.04905013874,0.01424858284
raw,fail_die_count,error_rate_across_seeds,3826,-0.1241121587,2000,2000,-0.1556159045,-0.09093653522
raw,fail_die_count,predicted_none_rate_across_seeds,3826,-0.1960106927,2000,2000,-0.2240281813,-0.1680892339
raw,fail_die_fraction,error_rate_across_seeds,3826,-0.1215599357,2000,2000,-0.1524545535,-0.08902290105
raw,fail_die_fraction,predicted_none_rate_across_seeds,3826,-0.1968502037,2000,2000,-0.2245677547,-0.1692883267
raw,component_count,error_rate_across_seeds,3826,-0.04795690917,2000,2000,-0.07634325387,-0.01927118676
raw,component_count,predicted_none_rate_across_seeds,3826,-0.004027414188,2000,2000,-0.03108094363,0.02306805287
raw,largest_component_fraction,error_rate_across_seeds,3826,-0.3318153677,2000,2000,-0.3588173254,-0.3035773102
raw,largest_component_fraction,predicted_none_rate_across_seeds,3826,-0.3866317316,2000,2000,-0.4075574861,-0.3647636342
raw,singleton_fail_fraction,error_rate_across_seeds,3826,-0.1300141475,2000,2000,-0.1585830291,-0.1038935294
raw,singleton_fail_fraction,predicted_none_rate_across_seeds,3826,-0.08819269158,2000,2000,-0.1161669193,-0.06134596298
raw,component_size_cv,error_rate_across_seeds,3826,-0.3576820216,2000,2000,-0.3828930058,-0.3307813145
raw,component_size_cv,predicted_none_rate_across_seeds,3826,-0.4010031964,2000,2000,-0.4223553469,-0.3803766236
raw,centroid_offset_normalized,error_rate_across_seeds,3826,0.1513556256,2000,2000,0.1219944378,0.1785808885
raw,centroid_offset_normalized,predicted_none_rate_across_seeds,3826,0.09212965158,2000,2000,0.06261538848,0.1190079867
raw,radial_mean_normalized,error_rate_across_seeds,3826,-0.1216112931,2000,2000,-0.1427691066,-0.100685937
raw,radial_mean_normalized,predicted_none_rate_across_seeds,3826,-0.07193141091,2000,2000,-0.09094669531,-0.0537511914
raw,radial_std_normalized,error_rate_across_seeds,3826,0.1295330716,2000,2000,0.1026149104,0.15739802
raw,radial_std_normalized,predicted_none_rate_across_seeds,3826,0.1344032763,2000,2000,0.107074995,0.1607358108
raw,edge_fail_fraction,error_rate_across_seeds,3826,-0.1093424275,2000,2000,-0.1319009023,-0.08817502214
raw,edge_fail_fraction,predicted_none_rate_across_seeds,3826,-0.05241343461,2000,2000,-0.07184425404,-0.03306822485
raw,spatial_dispersion_normalized,error_rate_across_seeds,3826,-0.1091284534,2000,2000,-0.130801301,-0.08846202053
raw,spatial_dispersion_normalized,predicted_none_rate_across_seeds,3826,-0.04292061169,2000,2000,-0.06071901795,-0.02601644754
within_class_percentile,wafer_die_count,error_rate_across_seeds,3826,0.06512646342,2000,2000,0.03072935548,0.09775284195
within_class_percentile,wafer_die_count,predicted_none_rate_across_seeds,3826,0.06716065338,2000,2000,0.03218412864,0.09957226771
within_class_percentile,fail_die_count,error_rate_across_seeds,3826,-0.1098223619,2000,2000,-0.1412731359,-0.07751792642
within_class_percentile,fail_die_count,predicted_none_rate_across_seeds,3826,-0.1630057583,2000,2000,-0.1914760274,-0.133926292
within_class_percentile,fail_die_fraction,error_rate_across_seeds,3826,-0.1166259704,2000,2000,-0.148175825,-0.08472617627
within_class_percentile,fail_die_fraction,predicted_none_rate_across_seeds,3826,-0.172316896,2000,2000,-0.2000346817,-0.142651954
within_class_percentile,component_count,error_rate_across_seeds,3826,-0.003288783895,2000,2000,-0.03368769115,0.02719271766
within_class_percentile,component_count,predicted_none_rate_across_seeds,3826,0.03437487252,2000,2000,0.004884391671,0.06278666153
within_class_percentile,largest_component_fraction,error_rate_across_seeds,3826,-0.2651752488,2000,2000,-0.2960087725,-0.2342906418
within_class_percentile,largest_component_fraction,predicted_none_rate_across_seeds,3826,-0.3348488227,2000,2000,-0.3583958134,-0.3105597459
within_class_percentile,singleton_fail_fraction,error_rate_across_seeds,3826,-0.03566519534,2000,2000,-0.06875632243,-0.004355104308
within_class_percentile,singleton_fail_fraction,predicted_none_rate_across_seeds,3826,-0.005917421076,2000,2000,-0.0392073818,0.02604951199
within_class_percentile,component_size_cv,error_rate_across_seeds,3826,-0.2892700881,2000,2000,-0.3199980121,-0.2586823125
within_class_percentile,component_size_cv,predicted_none_rate_across_seeds,3826,-0.3660433557,2000,2000,-0.3887161513,-0.3440473096
within_class_percentile,centroid_offset_normalized,error_rate_across_seeds,3826,-0.03071849146,2000,2000,-0.06283223832,0.001135288314
within_class_percentile,centroid_offset_normalized,predicted_none_rate_across_seeds,3826,-0.07307902154,2000,2000,-0.1041066134,-0.04250821966
within_class_percentile,radial_mean_normalized,error_rate_across_seeds,3826,0.07915393169,2000,2000,0.0449753689,0.1105370494
within_class_percentile,radial_mean_normalized,predicted_none_rate_across_seeds,3826,0.1130048411,2000,2000,0.08189364817,0.1438348194
within_class_percentile,radial_std_normalized,error_rate_across_seeds,3826,0.03762026928,2000,2000,0.004339995732,0.07158064367
within_class_percentile,radial_std_normalized,predicted_none_rate_across_seeds,3826,0.04248022015,2000,2000,0.0105877813,0.07472206752
within_class_percentile,edge_fail_fraction,error_rate_across_seeds,3826,0.103992529,2000,2000,0.0713915086,0.1341535697
within_class_percentile,edge_fail_fraction,predicted_none_rate_across_seeds,3826,0.1352160313,2000,2000,0.1055113602,0.1645201674
within_class_percentile,spatial_dispersion_normalized,error_rate_across_seeds,3826,0.1258220239,2000,2000,0.09321336066,0.1568429447
within_class_percentile,spatial_dispersion_normalized,predicted_none_rate_across_seeds,3826,0.1733691817,2000,2000,0.1434800724,0.2025875724
