seed,label_id,label,precision,recall,f1,support
42,0,Center,0.9627118644067797,0.8819875776397516,0.9205834683954619,644
42,1,Donut,0.7789473684210526,0.891566265060241,0.8314606741573034,83
42,2,Edge-Loc,0.852,0.8213367609254498,0.8363874345549738,778
42,3,Edge-Ring,0.978796169630643,0.9855371900826446,0.9821551132463967,1452
42,4,Loc,0.9104477611940298,0.6790352504638218,0.7778958554729012,539
42,5,Near-full,0.9545454545454546,1.0,0.9767441860465116,21
42,6,Random,0.905982905982906,0.8153846153846154,0.8582995951417004,130
42,7,Scratch,0.7582417582417582,0.770949720670391,0.7645429362880887,179
42,8,none,0.9861577744926757,0.9953429488628657,0.9907290729072907,22117
123,0,Center,0.9602649006622517,0.9006211180124224,0.9294871794871795,644
123,1,Donut,0.7789473684210526,0.891566265060241,0.8314606741573034,83
123,2,Edge-Loc,0.856760374832664,0.8226221079691517,0.839344262295082,778
123,3,Edge-Ring,0.9781569965870307,0.9869146005509641,0.9825162838532739,1452
123,4,Loc,0.914572864321608,0.6753246753246753,0.7769477054429029,539
123,5,Near-full,0.95,0.9047619047619048,0.926829268292683,21
123,6,Random,0.9333333333333333,0.7538461538461538,0.8340425531914893,130
123,7,Scratch,0.7951807228915663,0.7374301675977654,0.7652173913043478,179
123,8,none,0.985901624669919,0.9959759461048062,0.9909131803868646,22117
2026,0,Center,0.9621087314662273,0.906832298136646,0.9336530775379697,644
2026,1,Donut,0.8172043010752689,0.9156626506024096,0.8636363636363636,83
2026,2,Edge-Loc,0.850383631713555,0.8547557840616966,0.8525641025641025,778
2026,3,Edge-Ring,0.9775510204081632,0.9896694214876033,0.9835728952772074,1452
2026,4,Loc,0.9154929577464789,0.7235621521335807,0.8082901554404145,539
2026,5,Near-full,0.9545454545454546,1.0,0.9767441860465116,21
2026,6,Random,0.9541284403669725,0.8,0.8702928870292888,130
2026,7,Scratch,0.8166666666666667,0.8212290502793296,0.8189415041782729,179
2026,8,none,0.988631257302058,0.9947551657096351,0.9916837574091185,22117
