model_id,model,corruption,level,level_index,severity,metric,value_mean,value_sample_std,degradation_from_clean_pp_mean,degradation_from_clean_pp_sample_std,seeds,highres_value_mean,highres_degradation_from_clean_pp_mean,value_delta_vs_highres_pp,additional_degradation_vs_highres_pp
standard_shufflenet_v2,Standard ShuffleNetV2,clean,clean,-1,0,accuracy,0.9677498105,0.000424590105,0,0,3,0.9803415179,0,-1.259170746,0
standard_shufflenet_v2,Standard ShuffleNetV2,clean,clean,-1,0,macro_f1,0.8049466062,0.00131589322,0,0,3,0.9020287208,0,-9.708211458,0
standard_shufflenet_v2,Standard ShuffleNetV2,clean,clean,-1,0,balanced_accuracy,0.7854577334,0.003015476922,0,0,3,0.891150744,0,-10.56930106,0
resnet18,ResNet18,clean,clean,-1,0,accuracy,0.9785684,0.0001680183072,0,0,3,0.9803415179,0,-0.1773117989,0
resnet18,ResNet18,clean,clean,-1,0,macro_f1,0.8892551551,0.001955351574,0,0,3,0.9020287208,0,-1.277356572,0
resnet18,ResNet18,clean,clean,-1,0,balanced_accuracy,0.8765939223,0.001523968341,0,0,3,0.891150744,0,-1.455682166,0
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,accuracy,0.9666191265,0.0006484448152,0.1130683935,0.02623774924,3,0.9718870858,0.8454432153,-0.5267959244,-0.7323748217
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,macro_f1,0.8017690794,0.00394007871,0.3177526838,0.5215272987,3,0.8820348971,1.999382365,-8.026581776,-1.681629682
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,light,0,0.01,balanced_accuracy,0.7908543979,0.003243838423,-0.5396664553,0.6143237752,3,0.8953647444,-0.4214000447,-10.45103465,-0.1182664106
resnet18,ResNet18,bin_flip,light,0,0.01,accuracy,0.9763584268,0.0005616799135,0.2209973146,0.06590509246,3,0.9718870858,0.8454432153,0.4471341017,-0.6244459006
resnet18,ResNet18,bin_flip,light,0,0.01,macro_f1,0.8799241617,0.001239550502,0.933099336,0.2562619791,3,0.8820348971,1.999382365,-0.2110735425,-1.066283029
resnet18,ResNet18,bin_flip,light,0,0.01,balanced_accuracy,0.8737695471,0.001497697102,0.2824375198,0.2670410138,3,0.8953647444,-0.4214000447,-2.159519731,0.7038375645
standard_shufflenet_v2,Standard ShuffleNetV2,bin_flip,medium,1,0.05,accuracy,0.9433501651,0.005904510702,2.439964538,0.5585985343,3,0.9471790721,3.316244587,-0.3828906963,-0.8762800499
