model_id,model,seed,corruption,level,level_index,severity,metric,value,clean_value,degradation_from_clean_pp,source
highres_shufflenet_v2,HighRes ShuffleNetV2,42,clean,clean,-1,0,accuracy,0.980380064,0.980380064,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,clean,clean,-1,0,macro_f1,0.903497703,0.903497703,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,clean,clean,-1,0,balanced_accuracy,0.897063106,0.897063106,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,light,0,0.01,accuracy,0.9721312107,0.980380064,0.8248853255,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,light,0,0.01,macro_f1,0.8853071869,0.903497703,1.819051612,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,light,0,0.01,balanced_accuracy,0.9016462453,0.897063106,-0.458313933,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,medium,1,0.05,accuracy,0.9469220984,0.980380064,3.345796554,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,medium,1,0.05,macro_f1,0.8173202663,0.903497703,8.617743668,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,medium,1,0.05,balanced_accuracy,0.8611246554,0.897063106,3.593845055,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,heavy,2,0.1,accuracy,0.949234861,0.980380064,3.114520294,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,heavy,2,0.1,macro_f1,0.7445193942,0.903497703,15.89783089,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,bin_flip,heavy,2,0.1,balanced_accuracy,0.758360389,0.897063106,13.87027169,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,light,0,2,accuracy,0.977758933,0.980380064,0.2621130941,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,light,0,2,macro_f1,0.8927875141,0.903497703,1.071018891,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,light,0,2,balanced_accuracy,0.8831071839,0.897063106,1.395592211,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,medium,1,5,accuracy,0.9601433913,0.980380064,2.023667271,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,medium,1,5,macro_f1,0.8060290306,0.903497703,9.746867247,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,medium,1,5,balanced_accuracy,0.7973787146,0.897063106,9.968439136,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,heavy,2,8,accuracy,0.9401765409,0.980380064,4.020352311,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,heavy,2,8,macro_f1,0.6708941114,0.903497703,23.26035917,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,translation,heavy,2,8,balanced_accuracy,0.6777659849,0.897063106,21.9297121,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,light,0,8,accuracy,0.9791465906,0.980380064,0.1233473384,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,light,0,8,macro_f1,0.8991985817,0.903497703,0.4299121377,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,light,0,8,balanced_accuracy,0.8865167346,0.897063106,1.054637133,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,medium,1,16,accuracy,0.9737886906,0.980380064,0.6591373396,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,medium,1,16,macro_f1,0.8703707331,0.903497703,3.312696991,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,medium,1,16,balanced_accuracy,0.842778588,0.897063106,5.428451796,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,heavy,2,24,accuracy,0.965270015,0.980380064,1.511004895,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,heavy,2,24,macro_f1,0.8089236484,0.903497703,9.457405459,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,local_missing,heavy,2,24,balanced_accuracy,0.754761758,0.897063106,14.2301348,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,light,0,2,accuracy,0.9804957021,0.980380064,-0.01156381297,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,light,0,2,macro_f1,0.905389788,0.903497703,-0.1892084986,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,light,0,2,balanced_accuracy,0.9006641904,0.897063106,-0.3601084463,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,medium,1,5,accuracy,0.9795705971,0.980380064,0.08094669082,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,medium,1,5,macro_f1,0.8965403666,0.903497703,0.6957336444,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,medium,1,5,balanced_accuracy,0.8882633275,0.897063106,0.8799778456,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,heavy,2,10,accuracy,0.9796091431,0.980380064,0.0770920865,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,heavy,2,10,macro_f1,0.9033573391,0.903497703,0.01403639565,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,42,rotation,heavy,2,10,balanced_accuracy,0.8947203882,0.897063106,0.2342717754,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,clean,clean,-1,0,accuracy,0.9803029719,0.9803029719,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,clean,clean,-1,0,macro_f1,0.8997964974,0.8997964974,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,clean,clean,-1,0,balanced_accuracy,0.886148809,0.886148809,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,light,0,0.01,accuracy,0.9717842963,0.9803029719,0.8518675558,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,light,0,0.01,macro_f1,0.8790222461,0.8997964974,2.077425126,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,light,0,0.01,balanced_accuracy,0.8925649791,0.886148809,-0.6416170015,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,medium,1,0.05,accuracy,0.942026751,0.9803029719,3.827622095,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,medium,1,0.05,macro_f1,0.8038226352,0.8997964974,9.59738622,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,medium,1,0.05,balanced_accuracy,0.8454857038,0.886148809,4.066310528,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,heavy,2,0.1,accuracy,0.9461126315,0.9803029719,3.419034036,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,heavy,2,0.1,macro_f1,0.7282035222,0.8997964974,17.15929752,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,bin_flip,heavy,2,0.1,balanced_accuracy,0.7452826822,0.886148809,14.08661268,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,light,0,2,accuracy,0.9781058474,0.9803029719,0.2197124465,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,light,0,2,macro_f1,0.8954447453,0.8997964974,0.4351752046,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,light,0,2,balanced_accuracy,0.8828448201,0.886148809,0.3303988911,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,medium,1,5,accuracy,0.960798674,0.9803029719,1.950429788,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,medium,1,5,macro_f1,0.8024299332,0.8997964974,9.736656412,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,medium,1,5,balanced_accuracy,0.7814577596,0.886148809,10.46910494,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,heavy,2,8,accuracy,0.9425663956,0.9803029719,3.773657634,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,heavy,2,8,macro_f1,0.6819831923,0.8997964974,21.7813305,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,translation,heavy,2,8,balanced_accuracy,0.6718328961,0.886148809,21.43159129,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,light,0,8,accuracy,0.9784142158,0.9803029719,0.1888756119,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,light,0,8,macro_f1,0.8873311443,0.8997964974,1.246535306,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,light,0,8,balanced_accuracy,0.8657242788,0.886148809,2.042453024,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,medium,1,16,accuracy,0.9733646841,0.9803029719,0.6938287785,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,medium,1,16,macro_f1,0.8625185929,0.8997964974,3.727790446,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,medium,1,16,balanced_accuracy,0.8288398968,0.886148809,5.730891228,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,heavy,2,24,accuracy,0.965231469,0.9803029719,1.507150291,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,heavy,2,24,macro_f1,0.8044480956,0.8997964974,9.534840172,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,local_missing,heavy,2,24,balanced_accuracy,0.7395122187,0.886148809,14.66365904,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,light,0,2,accuracy,0.980380064,0.9803029719,-0.00770920865,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,light,0,2,macro_f1,0.8991822821,0.8997964974,0.06142152335,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,light,0,2,balanced_accuracy,0.8862896553,0.886148809,-0.01408462188,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,medium,1,5,accuracy,0.9796476892,0.9803029719,0.06552827352,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,medium,1,5,macro_f1,0.8950317784,0.8997964974,0.4764719006,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,medium,1,5,balanced_accuracy,0.8784771027,0.886148809,0.767170636,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,heavy,2,10,accuracy,0.9794164129,0.9803029719,0.08865589947,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,heavy,2,10,macro_f1,0.8994874727,0.8997964974,0.0309024694,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,123,rotation,heavy,2,10,balanced_accuracy,0.8831014504,0.886148809,0.3047358675,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,clean,clean,-1,0,accuracy,0.9803415179,0.9803415179,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,clean,clean,-1,0,macro_f1,0.902791962,0.902791962,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,clean,clean,-1,0,balanced_accuracy,0.890240317,0.890240317,-0,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,light,0,0.01,accuracy,0.9717457503,0.9803415179,0.8595767644,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,light,0,0.01,macro_f1,0.8817752584,0.902791962,2.101670359,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,light,0,0.01,balanced_accuracy,0.891883009,0.890240317,-0.1642691995,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,medium,1,0.05,accuracy,0.9525883668,0.9803415179,2.775315114,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,medium,1,0.05,macro_f1,0.8233278646,0.902791962,7.946409743,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,medium,1,0.05,balanced_accuracy,0.852249483,0.890240317,3.799083392,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,heavy,2,0.1,accuracy,0.9534749258,0.9803415179,2.686659214,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,heavy,2,0.1,macro_f1,0.7486088288,0.902791962,15.41831332,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,bin_flip,heavy,2,0.1,balanced_accuracy,0.7489229762,0.890240317,14.13173408,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,light,0,2,accuracy,0.9781443935,0.9803415179,0.2197124465,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,light,0,2,macro_f1,0.8936057331,0.902791962,0.9186228855,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,light,0,2,balanced_accuracy,0.877821952,0.890240317,1.2418365,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,medium,1,5,accuracy,0.9620321474,0.9803415179,1.830937054,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,medium,1,5,macro_f1,0.813260839,0.902791962,8.953112302,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,medium,1,5,balanced_accuracy,0.7936879109,0.890240317,9.65524061,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,heavy,2,8,accuracy,0.9443780596,0.9803415179,3.596345835,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,heavy,2,8,macro_f1,0.7010015948,0.902791962,20.17903672,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,translation,heavy,2,8,balanced_accuracy,0.690680084,0.890240317,19.9560233,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,light,0,8,accuracy,0.9782600316,0.9803415179,0.2081486335,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,light,0,8,macro_f1,0.8893814008,0.902791962,1.341056121,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,light,0,8,balanced_accuracy,0.8650247028,0.890240317,2.521561412,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,medium,1,16,accuracy,0.9732104999,0.9803415179,0.7131018001,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,medium,1,16,macro_f1,0.8618468639,0.902791962,4.094509807,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,medium,1,16,balanced_accuracy,0.8284999884,0.890240317,6.174032853,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,heavy,2,24,accuracy,0.9651929229,0.9803415179,1.5148595,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,heavy,2,24,macro_f1,0.8000892026,0.902791962,10.27027594,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,local_missing,heavy,2,24,balanced_accuracy,0.7383815243,0.890240317,15.18587926,reused_highres_robustness
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,rotation,light,0,2,accuracy,0.980380064,0.9803415179,-0.003854604325,reused_highres_robustness
