track,model,metric,mean,std,per_seed
track_A,highres,auc,0.9983407897699131,0.0005713322052752064,"{'42': 0.9985665540996893, '123': 0.9987647440226934, '2026': 0.9976910711873564}"
track_A,highres,recall@0.5,0.9954793101895628,0.0009316955941376752,"{'42': 0.9964879103066324, '123': 0.9952992030258003, '2026': 0.9946508172362556}"
track_A,highres,specificity@0.5,0.9010000000000001,0.02487971060924948,"{'42': 0.896, '123': 0.928, '2026': 0.879}"
track_A,highres,balanced_accuracy@0.5,0.9482396550947815,0.01253184950083145,"{'42': 0.9462439551533162, '123': 0.9616496015129001, '2026': 0.9368254086181278}"
track_A,highres,f1@0.5,0.9963989654352748,0.000622585441173804,"{'42': 0.9968380087562835, '123': 0.9966724380478303, '2026': 0.9956864495017106}"
track_A,standard,auc,0.9737541312080689,0.0076582076432431916,"{'42': 0.9819795353235177, '123': 0.9668298122382818, '2026': 0.9724530460624071}"
track_A,standard,recall@0.5,0.9706875590976631,0.01455690176561722,"{'42': 0.9688234499527218, '123': 0.9571525057409158, '2026': 0.9860867215993516}"
track_A,standard,specificity@0.5,0.7159999999999999,0.07861933604400384,"{'42': 0.792, '123': 0.721, '2026': 0.635}"
track_A,standard,balanced_accuracy@0.5,0.8433437795488316,0.035129132015244126,"{'42': 0.880411724976361, '123': 0.8390762528704578, '2026': 0.8105433607996758}"
track_A,standard,f1@0.5,0.9812691486664082,0.0068675150017201095,"{'42': 0.9813639100213453, '123': 0.9743547433411713, '2026': 0.9880887926367081}"
track_A,resnet18,auc,0.959347768922509,0.0028451693259652212,"{'42': 0.9609472240983384, '123': 0.9560628258813995, '2026': 0.9610332567877887}"
track_A,resnet18,recall@0.5,0.9750821738934666,0.006473963212720071,"{'42': 0.9823314872349048, '123': 0.973037957584763, '2026': 0.9698770768607321}"
track_A,resnet18,specificity@0.5,0.6023333333333333,0.047606022028030624,"{'42': 0.57, '123': 0.58, '2026': 0.657}"
track_A,resnet18,balanced_accuracy@0.5,0.7887077536134001,0.021418216125987547,"{'42': 0.7761657436174524, '123': 0.7765189787923814, '2026': 0.8134385384303661}"
track_A,resnet18,f1@0.5,0.98203515317498,0.002854225332388061,"{'42': 0.985312847193995, '123': 0.9806948755649948, '2026': 0.9800977367659505}"
track_B,highres,0,0.8188966527775642,0.015862129886147523,"{'42': 0.8182711250172973, '123': 0.8033565399222006, '2026': 0.8350622933931948}"
track_B,highres,1,0.9069093418327033,0.01140923474489804,"{'42': 0.9151589291434429, '123': 0.8938891072458197, '2026': 0.9116799891088475}"
track_B,highres,2,0.6253575008840849,0.0060475874619451316,"{'42': 0.6318798474761298, '123': 0.6199358738602991, '2026': 0.624256781315826}"
track_B,highres,3,0.8851729386892178,0.00854985584332755,"{'42': 0.8813581299250433, '123': 0.8791945672368505, '2026': 0.8949661189057594}"
track_B,highres,4,0.6900202052164581,0.010237677710529388,"{'42': 0.6782075901407278, '123': 0.69553073666972, '2026': 0.6963222888389263}"
track_B,highres,5,0.995713779817704,0.0027785069788281444,"{'42': 0.9984025264647466, '123': 0.9958853491489063, '2026': 0.9928534638394594}"
track_B,highres,6,0.6319005729548695,0.005783022563564543,"{'42': 0.6366761185767469, '123': 0.6335549496934553, '2026': 0.6254706505944061}"
track_B,highres,7,0.9392926983115721,0.003193659870317362,"{'42': 0.936596815632348, '123': 0.9428197738375459, '2026': 0.9384615054648229}"
track_B,highres,mean,0.8116579613105218,0.0034500401713378486,"{'42': 0.8120688852970603, '123': 0.8080208622018497, '2026': 0.8148841364326553}"
track_B,standard,0,0.6383677982953817,0.030704313475926046,"{'42': 0.6656043973615831, '123': 0.6050929319331477, '2026': 0.6444060655914143}"
track_B,standard,1,0.7928941097016677,0.03684690522696595,"{'42': 0.8295301909154974, '123': 0.7558399384970209, '2026': 0.7933121996924851}"
track_B,standard,2,0.6884394604263083,0.010281306355795126,"{'42': 0.6817498208767048, '123': 0.6832906471501714, '2026': 0.7002779132520488}"
track_B,standard,3,0.887104213381169,0.0024185662284368203,"{'42': 0.8890458325325132, '123': 0.884394999679672, '2026': 0.8878718079313217}"
track_B,standard,4,0.6244683455001342,0.012784530577812064,"{'42': 0.6206316179532019, '123': 0.6387319052377384, '2026': 0.6140415133094623}"
track_B,standard,5,0.9981766622935394,0.00040339767133785906,"{'42': 0.9983920692431134, '123': 0.9977112863906883, '2026': 0.9984266312468163}"
track_B,standard,6,0.494796913332503,0.006756938318621809,"{'42': 0.5025738433646567, '123': 0.491452263448524, '2026': 0.4903646331843282}"
track_B,standard,7,0.9401966429386966,0.012707120752067303,"{'42': 0.9418697111196364, '123': 0.9519843533782595, '2026': 0.9267358643181938}"
track_B,standard,mean,0.7580555182336749,0.0076188531645389,"{'42': 0.7661746854208633, '123': 0.7510622907144028, '2026': 0.7569295785657588}"
track_B,resnet18,0,0.6924003536339735,0.029215073847080813,"{'42': 0.660591312904565, '123': 0.7180341718046095, '2026': 0.6985755761927459}"
track_B,resnet18,1,0.8200905812885728,0.011399201372627975,"{'42': 0.8187577679543852, '123': 0.8320976007431611, '2026': 0.8094163751681722}"
track_B,resnet18,2,0.6831094133263632,0.01873315622214836,"{'42': 0.7047141776472579, '123': 0.671381417303464, '2026': 0.6732326450283677}"
track_B,resnet18,3,0.911157296004442,0.01108524823018726,"{'42': 0.9234412534435261, '123': 0.9018990662438338, '2026': 0.9081315683259658}"
track_B,resnet18,4,0.6687714552048926,0.016415577129924017,"{'42': 0.6528191245454797, '123': 0.6678811932717129, '2026': 0.6856140477974852}"
track_B,resnet18,5,0.9989272190372006,0.0007660739801860346,"{'42': 0.9993057468281829, '123': 0.9980455630008611, '2026': 0.999430347282558}"
track_B,resnet18,6,0.5312907413814578,0.008087013653970639,"{'42': 0.5338395947797445, '123': 0.5222363854021064, '2026': 0.5377962439625226}"
track_B,resnet18,7,0.9398013909033822,0.009766251870260308,"{'42': 0.9333164112785433, '123': 0.935053983654986, '2026': 0.9510337777766174}"
