true_class,predicted_class,true_class_support_per_seed,error_count_mean,error_count_sample_std,error_count_min,error_count_max,true_class_error_rate_percent_mean,true_class_error_rate_percent_sample_std,mean_error_confidence_across_seeds
Edge-Loc,none,778,101.33333333,9.45163125,94,112,13.02485004,1.21486263,0.76976375
Loc,none,539,84.00000000,1.00000000,83,85,15.58441558,0.18552876,0.77303387
Center,none,644,46.66666667,3.21455025,43,49,7.24637681,0.49915377,0.77153877
none,Edge-Loc,22117,42.33333333,3.78593890,38,45,0.19140631,0.01711778,0.63961454
Scratch,none,179,31.00000000,3.60555128,28,35,17.31843575,2.01427446,0.75101919
Loc,Edge-Loc,539,26.66666667,2.88675135,25,30,4.94743352,0.53557539,0.72045852
none,Loc,22117,21.66666667,2.08166600,20,24,0.09796386,0.00941206,0.67972061
none,Center,22117,18.00000000,3.60555128,14,21,0.08138536,0.01630217,0.66167074
none,Scratch,22117,15.00000000,3.00000000,12,18,0.06782113,0.01356423,0.72793038
Edge-Loc,Edge-Ring,778,14.00000000,3.60555128,10,17,1.79948586,0.46343847,0.71619336
Edge-Ring,Edge-Loc,1452,13.66666667,2.51661148,11,16,0.94123049,0.17332035,0.67521939
Loc,Center,539,11.00000000,1.00000000,10,12,2.04081633,0.18552876,0.72365123
