model_id,model,seed,class_id,class_name,precision,recall,f1_score,support
highres_shufflenet_v2,HighRes ShuffleNetV2,42,0,Center,0.9483870967741935,0.9130434782608695,0.930379746835443,644
highres_shufflenet_v2,HighRes ShuffleNetV2,42,1,Donut,0.8172043010752689,0.9156626506024096,0.8636363636363636,83
highres_shufflenet_v2,HighRes ShuffleNetV2,42,2,Edge-Loc,0.8736702127659575,0.8444730077120822,0.8588235294117647,778
highres_shufflenet_v2,HighRes ShuffleNetV2,42,3,Edge-Ring,0.9835051546391752,0.9855371900826446,0.9845201238390093,1452
highres_shufflenet_v2,HighRes ShuffleNetV2,42,4,Loc,0.908883826879271,0.7402597402597403,0.8159509202453987,539
highres_shufflenet_v2,HighRes ShuffleNetV2,42,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
highres_shufflenet_v2,HighRes ShuffleNetV2,42,6,Random,0.8955223880597015,0.9230769230769231,0.9090909090909091,130
highres_shufflenet_v2,HighRes ShuffleNetV2,42,7,Scratch,0.8470588235294118,0.8044692737430168,0.8252148997134671,179
highres_shufflenet_v2,HighRes ShuffleNetV2,42,8,none,0.988319331506357,0.9946647375322151,0.9914818820984316,22117
highres_shufflenet_v2,HighRes ShuffleNetV2,123,0,Center,0.9560975609756097,0.9130434782608695,0.9340746624305004,644
highres_shufflenet_v2,HighRes ShuffleNetV2,123,1,Donut,0.8275862068965517,0.8674698795180723,0.8470588235294118,83
highres_shufflenet_v2,HighRes ShuffleNetV2,123,2,Edge-Loc,0.8746666666666667,0.8431876606683805,0.8586387434554974,778
highres_shufflenet_v2,HighRes ShuffleNetV2,123,3,Edge-Ring,0.9862542955326461,0.9882920110192838,0.9872721018231854,1452
highres_shufflenet_v2,HighRes ShuffleNetV2,123,4,Loc,0.8990825688073395,0.7272727272727273,0.8041025641025641,539
highres_shufflenet_v2,HighRes ShuffleNetV2,123,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
highres_shufflenet_v2,HighRes ShuffleNetV2,123,6,Random,0.9022556390977443,0.9230769230769231,0.9125475285171103,130
highres_shufflenet_v2,HighRes ShuffleNetV2,123,7,Scratch,0.8616352201257862,0.7653631284916201,0.8106508875739645,179
highres_shufflenet_v2,HighRes ShuffleNetV2,123,8,none,0.9876609682774712,0.9952525206854456,0.9914422124132961,22117
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,0,Center,0.9472843450479234,0.9208074534161491,0.9338582677165355,644
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,1,Donut,0.8295454545454546,0.8795180722891566,0.8538011695906432,83
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,2,Edge-Loc,0.8818681318681318,0.8251928020565553,0.852589641434263,778
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,3,Edge-Ring,0.9828649760109665,0.987603305785124,0.9852284438337341,1452
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,4,Loc,0.9143518518518519,0.7328385899814471,0.8135942327497425,539
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,6,Random,0.9236641221374046,0.9307692307692308,0.9272030651340997,130
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,7,Scratch,0.844311377245509,0.7877094972067039,0.815028901734104,179
highres_shufflenet_v2,HighRes ShuffleNetV2,2026,8,none,0.987573460140864,0.9953429488628657,0.9914429832462619,22117
standard_shufflenet_v2,Standard ShuffleNetV2,42,0,Center,0.9447236180904522,0.8757763975155279,0.9089443996776793,644
standard_shufflenet_v2,Standard ShuffleNetV2,42,1,Donut,0.7978723404255319,0.9036144578313253,0.847457627118644,83
standard_shufflenet_v2,Standard ShuffleNetV2,42,2,Edge-Loc,0.8511278195488722,0.7275064267352185,0.7844767844767845,778
standard_shufflenet_v2,Standard ShuffleNetV2,42,3,Edge-Ring,0.9792817679558011,0.9765840220385675,0.9779310344827586,1452
standard_shufflenet_v2,Standard ShuffleNetV2,42,4,Loc,0.7641921397379913,0.6493506493506493,0.7021063189568706,539
standard_shufflenet_v2,Standard ShuffleNetV2,42,5,Near-full,0.9047619047619048,0.9047619047619048,0.9047619047619048,21
standard_shufflenet_v2,Standard ShuffleNetV2,42,6,Random,0.8770491803278688,0.823076923076923,0.8492063492063492,130
standard_shufflenet_v2,Standard ShuffleNetV2,42,7,Scratch,0.532258064516129,0.18435754189944134,0.27385892116182575,179
standard_shufflenet_v2,Standard ShuffleNetV2,42,8,none,0.9781544758853888,0.9940317402902744,0.9860291974076649,22117
standard_shufflenet_v2,Standard ShuffleNetV2,123,0,Center,0.940099833610649,0.8773291925465838,0.9076305220883534,644
standard_shufflenet_v2,Standard ShuffleNetV2,123,1,Donut,0.7722772277227723,0.9397590361445783,0.8478260869565217,83
standard_shufflenet_v2,Standard ShuffleNetV2,123,2,Edge-Loc,0.8433734939759037,0.7197943444730077,0.7766990291262136,778
standard_shufflenet_v2,Standard ShuffleNetV2,123,3,Edge-Ring,0.982468443197756,0.9648760330578512,0.9735927727588604,1452
standard_shufflenet_v2,Standard ShuffleNetV2,123,4,Loc,0.7702407002188184,0.6530612244897959,0.7068273092369478,539
standard_shufflenet_v2,Standard ShuffleNetV2,123,5,Near-full,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
standard_shufflenet_v2,Standard ShuffleNetV2,123,6,Random,0.9292035398230089,0.8076923076923077,0.8641975308641975,130
standard_shufflenet_v2,Standard ShuffleNetV2,123,7,Scratch,0.4411764705882353,0.16759776536312848,0.242914979757085,179
standard_shufflenet_v2,Standard ShuffleNetV2,123,8,none,0.9774141917126089,0.9939865262015644,0.985630702324643,22117
standard_shufflenet_v2,Standard ShuffleNetV2,2026,0,Center,0.9449081803005008,0.8788819875776398,0.910699919549477,644
standard_shufflenet_v2,Standard ShuffleNetV2,2026,1,Donut,0.797752808988764,0.8554216867469879,0.8255813953488372,83
standard_shufflenet_v2,Standard ShuffleNetV2,2026,2,Edge-Loc,0.8330827067669173,0.712082262210797,0.7678447678447679,778
standard_shufflenet_v2,Standard ShuffleNetV2,2026,3,Edge-Ring,0.9846903270702854,0.9745179063360881,0.9795777085496712,1452
standard_shufflenet_v2,Standard ShuffleNetV2,2026,4,Loc,0.7662337662337663,0.6567717996289425,0.7072927072927073,539
standard_shufflenet_v2,Standard ShuffleNetV2,2026,5,Near-full,0.9130434782608695,1.0,0.9545454545454546,21
standard_shufflenet_v2,Standard ShuffleNetV2,2026,6,Random,0.8828125,0.8692307692307693,0.875968992248062,130
standard_shufflenet_v2,Standard ShuffleNetV2,2026,7,Scratch,0.5192307692307693,0.15083798882681565,0.23376623376623376,179
standard_shufflenet_v2,Standard ShuffleNetV2,2026,8,none,0.9776769832799715,0.9940769543789845,0.9858087658334267,22117
resnet18,ResNet18,42,0,Center,0.9609120521172638,0.9161490683229814,0.9379968203497615,644
resnet18,ResNet18,42,1,Donut,0.8444444444444444,0.9156626506024096,0.8786127167630058,83
resnet18,ResNet18,42,2,Edge-Loc,0.8686730506155951,0.8161953727506427,0.8416169648774022,778
resnet18,ResNet18,42,3,Edge-Ring,0.9801777170198223,0.987603305785124,0.9838765008576329,1452
resnet18,ResNet18,42,4,Loc,0.8957871396895787,0.7495361781076066,0.8161616161616162,539
