baseline_id,baseline,seed,accuracy_baseline,accuracy_highres,accuracy_delta_pp,accuracy_delta_ci_low_pp,accuracy_delta_ci_high_pp,macro_f1_baseline,macro_f1_highres,macro_f1_delta_pp,macro_f1_delta_ci_low_pp,macro_f1_delta_ci_high_pp,mcnemar_baseline_only_correct,mcnemar_highres_only_correct,mcnemar_p_raw,macro_f1_randomization_discordant_predictions,macro_f1_randomization_p_raw,mcnemar_p_holm,macro_f1_randomization_p_holm,accuracy_significant_holm_0_05,macro_f1_significant_holm_0_05
resnet18,ResNet18,42,0.9786840380834907,0.9803800639864317,0.16960259029410452,0.05010985622325714,0.2890953243649519,0.8882421733940448,0.903497703027971,1.525552963392629,0.5715402340655288,2.6219643534418213,105,149,0.006857741197080171,15,0.0015998400159984002,0.013715482394160343,0.006399360063993601,True,True
resnet18,ResNet18,123,0.9786454920402421,0.9803029718999344,0.16574798596923346,0.04240064757352613,0.29294992868981184,0.8915091586758356,0.8997964973584982,0.8287338682662626,-0.4558651041145667,2.153664317448996,123,166,0.013351611851893085,2266,0.22667733226677333,0.013715482394160343,0.22667733226677333,True,False
resnet18,ResNet18,2026,0.9783756697375015,0.9803415179431831,0.19658482056816862,0.07323748217245019,0.316077554639016,0.8880141331416421,0.9027919619800373,1.477782883839518,0.6301435625326708,2.334146427295081,106,157,0.001991144004000344,5,0.0005999400059994001,0.005973432012001033,0.0029997000299970002,True,True
efficientnet_b0,EfficientNet-B0,42,0.9777203870022743,0.9803800639864317,0.26596769841574774,0.14262036002004042,0.40087884978606825,0.8863314017405162,0.903497703027971,1.7166301287454888,0.4908205558720824,2.9359626795348945,119,188,9.777526107172806e-05,49,0.004999500049995001,0.0003911010442869122,0.014998500149985002,True,True
efficientnet_b0,EfficientNet-B0,123,0.9769109200940523,0.9803029718999344,0.33920518058820903,0.2081486335427707,0.47411633195852954,0.8777240965320352,0.8997964973584982,2.2072400826463,0.9683010196051298,3.406971454943496,111,199,6.582477258834918e-07,0,9.999000099990002e-05,3.949486355300951e-06,0.0011998800119988001,True,True
efficientnet_b0,EfficientNet-B0,2026,0.9773734726130363,0.9803415179431831,0.2968045330146829,0.17345719461897557,0.42015187141040133,0.8883532259513375,0.9027919619800373,1.4438736028699828,0.2987186288875843,2.464265008755796,98,175,3.6768964644218616e-06,75,0.007599240075992401,1.8384482322109307e-05,0.015198480151984802,True,True
mobilenet_v3_small,MobileNetV3-Small,42,0.9729021315961917,0.9803800639864317,0.7477932390240083,0.5974636703542369,0.9019774120186619,0.8434226370802714,0.903497703027971,6.007506594769962,4.499510772153285,7.546794810713433,126,320,1.5393744316432214e-20,0,9.999000099990002e-05,1.2314995453145771e-19,0.0011998800119988001,True,True
mobilenet_v3_small,MobileNetV3-Small,123,0.9728635855529429,0.9803029718999344,0.7439386346991483,0.5897544617045059,0.8981228076937908,0.8368153470558053,0.8997964973584982,6.298115030269291,4.8418048607694955,7.691256883647264,129,322,4.095490145209459e-20,0,9.999000099990002e-05,2.866843101646621e-19,0.0011998800119988001,True,True
mobilenet_v3_small,MobileNetV3-Small,2026,0.9724395790772077,0.9803415179431831,0.7901938865975455,0.643718922252623,0.940523455267317,0.8410393136328217,0.9027919619800373,6.1752648347215615,4.678355876367888,7.779036441827802,112,317,9.200998985972146e-24,0,9.999000099990002e-05,8.280899087374931e-23,0.0011998800119988001,True,True
standard_shufflenet_v2,Standard ShuffleNetV2,42,0.9681609682766064,0.9803800639864317,1.2219095709825378,1.0523069806884222,1.3915121612766423,0.8038636152500535,0.903497703027971,9.96340877779176,8.45945748385289,11.583192861540642,136,453,9.188417196872747e-41,0,9.999000099990002e-05,9.188417196872747e-40,0.0011998800119988001,True,True
standard_shufflenet_v2,Standard ShuffleNetV2,123,0.9673129553251358,0.9803029718999344,1.299001657479859,1.1216898585360235,1.4724588520988346,0.8064110983881972,0.8997964973584982,9.338539897030095,8.035784226633808,10.659345554854498,137,474,2.1268961691836374e-44,0,9.999000099990002e-05,2.552275403020365e-43,0.0011998800119988001,True,True
standard_shufflenet_v2,Standard ShuffleNetV2,2026,0.9677755078441198,0.9803415179431831,1.256601009906333,1.0908530239370884,1.4184943915507175,0.8045651049976263,0.9027919619800373,9.822685698241095,8.222362308795791,11.33804518800773,127,453,6.926906742101486e-44,0,9.999000099990002e-05,7.619597416311635e-43,0.0011998800119988001,True,True
