seed,configuration_id,reference_id,only_configuration_correct,only_reference_correct,discordant,p_value,p_value_holm,significant_at_0.05_holm
42,S2B,S2P,291,165,456,0.0,4e-08,True
42,S2N,S2P,405,163,568,0.0,0.0,True
42,S1P,S2P,410,136,546,0.0,0.0,True
42,S1B,S2P,423,147,570,0.0,0.0,True
42,S1N,S2P,453,136,589,0.0,0.0,True
42,S2P,S1N,136,453,589,0.0,0.0,True
42,S2B,S1N,129,320,449,0.0,0.0,True
42,S2N,S1N,97,172,269,5.63e-06,5.07e-05,True
42,S1P,S1N,103,146,249,0.00765053,0.02902504,True
42,S1B,S1N,91,132,223,0.00725626,0.02902504,True
123,S2B,S2P,295,158,453,0.0,0.0,True
123,S2N,S2P,414,150,564,0.0,0.0,True
123,S1P,S2P,431,132,563,0.0,0.0,True
123,S1B,S2P,422,121,543,0.0,0.0,True
123,S1N,S2P,474,137,611,0.0,0.0,True
123,S2P,S1N,137,474,611,0.0,0.0,True
123,S2B,S1N,125,325,450,0.0,0.0,True
123,S2N,S1N,98,171,269,1.008e-05,8.065e-05,True
123,S1P,S1N,121,159,280,0.02684621,0.04733528,True
123,S1B,S1N,102,138,240,0.02366764,0.04733528,True
2026,S2B,S2P,297,156,453,0.0,0.0,True
2026,S2N,S2P,405,140,545,0.0,0.0,True
2026,S1P,S2P,423,172,595,0.0,0.0,True
2026,S1B,S2P,409,145,554,0.0,0.0,True
2026,S1N,S2P,453,127,580,0.0,0.0,True
2026,S2P,S1N,127,453,580,0.0,0.0,True
2026,S2B,S1N,125,310,435,0.0,0.0,True
2026,S2N,S1N,107,168,275,0.00028164,0.00140821,True
2026,S1P,S1N,111,186,297,1.593e-05,0.00011151,True
2026,S1B,S1N,102,164,266,0.00017288,0.00103729,True
